trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.9268162065593822, 'e': 0.46766642700990924}",25,15,18.856824077260143,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.9258898536064953, 'e': 0.46301306831122807}",25,16,5.805472530742721,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.9249644265435393, 'e': 0.45840601130522357}",25,15,-3.6671832938016333,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.9240399244450868, 'e': 0.45384479528235583}",30,8,-13.601616132089415,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.9231163463866358, 'e': 0.44932896411722156}",20,10,4.272078350869014,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.922193691444608, 'e': 0.4448580662229411}",30,2,9.782931749513349,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.9212719586963487, 'e': 0.44043165450599925}",20,8,6.587004527379856,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.9203511472201247, 'e': 0.43604928632153556}",20,-12,34.383848656825755,"{0: 30, 1: 1, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.9194312560951247, 'e': 0.43171052342907973}",20,14,-1.579178182011134,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.9185122844014574, 'e': 0.4274149319487267}",25,-8,-27.58587093204403,"{0: 26, 1: 2, 2: 4, 3: 1, 4: 0}",0
86,False,"{'a': 0.9175942312201509, 'e': 0.4231620823177488}",25,12,8.638987171277579,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.9166770956331523, 'e': 0.418951549247639}",20,-12,-7.420521316852428,"{0: 26, 1: 2, 2: 4, 3: 0, 4: 0}",0
88,False,"{'a': 0.9157608767233256, 'e': 0.4147829116815814}",20,16,7.994008484777958,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.9148455735744521, 'e': 0.4106557527523455}",20,6,-83.81560963168813,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
90,False,"{'a': 0.9139311852712282, 'e': 0.4065696597405991}",20,12,3.894396543683772,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.9130177108992658, 'e': 0.40252422403363597}",20,0,-115.50390091884947,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
92,False,"{'a': 0.9121051495450904, 'e': 0.3985190410845142}",25,7,28.268360759661995,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.9111935002961405, 'e': 0.39455371037160114}",25,-13,10.54442981974406,"{0: 35, 1: 2, 2: 0, 3: 0, 4: 1}",0
94,False,"{'a': 0.910282762240767, 'e': 0.3906278353585211}",20,12,-54.09158618955436,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 1}",1
95,False,"{'a': 0.9093729344682314, 'e': 0.3867410234545012}",20,1,-22.67401644389806,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 0}",1
96,False,"{'a': 0.9084640160687062, 'e': 0.38289288597511206}",20,8,-15.46378662174479,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.9075560061332727, 'e': 0.37908303810339883}",20,0,-29.151116383750363,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
98,False,"{'a': 0.9066489037539209, 'e': 0.37531109885139957}",20,13,0.3058275203255105,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.9057427080235485, 'e': 0.3715766910220457}",25,11,-29.240727008601155,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.9048374180359595, 'e': 0.36787944117144233}",20,14,8.27843311207768,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.9039330328858641, 'e': 0.3642189795715233}",20,6,25.859238861674605,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.9030295516688768, 'e': 0.3605949401730783}",20,8,9.502919964693815,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.9021269734815165, 'e': 0.3570069605691474}",25,13,5.487025571303251,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.9012252974212048, 'e': 0.35345468195878016}",20,-7,14.929478717425173,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",0
